Pos	Nr	Athlete	NOC	Time			
88	2051	Zsófia Erdélyi	HUN	2-44:45			
89	3120	Jane Suuto	UGA	2-44:46			
90	3353	Yolymar Pineda	VEN	2-45:16			
91	2055	Anikó Kálovics	HUN	2-45:55			
92	2365	Kim Seong-Eun	KOR	2-46:38			
93	1661	Vanessa Veiga	ESP	2-46:53			
94	2402	Dace Lina	LAT	2-47:47			
95	2992	Katarína Berešová	SVK	2-48:11			
96	1085	Benita Willis-Johnson	AUS	2-49:38			
97	2906	Claudette Mukasakindi	RWA	2-51:07			
98	2516	Luvsanlkhündeviin Otgonbayar	MGL	2-52:15			
99	1674	Evelin Talts	EST	2-54:15			
100	1992	Konstantina Kefala	GRE	3-01:18			
101	2535	San Ni Lar	MYA	3-04:27			
102	3027	Juventina Napoleao	TLS	3-05:07			
103	2107	Caitriona Jennings	IRL	3-22:11
AC	3085	Bahar Doğan	TUR	2-36:35		DQ
AC	3094	Ümmü Kiraz	TUR	2-43:07		DQ
AC	3161	Tetiana Hamera-Shmyrko	UKR	2-24:32		DQ
AC	1390	Wang Jiali	CHN	2-35:46		DQ
