ID	Name	Nation(s)	Sport(s)	Era	
123728	Michael Shelley	AUS	ATH	2012—2016	
134922	Shim Jung-Sub	KOR	ATH	2016	
75450	Leonid Shvetsov	RUS	ATH	1996—2004	
114985	Rui Pedro da Silva	POR	ATH	2008—2016	
132774	Solonei Silva	BRA	ATH	2016	
136037	Alphonce Felix Simbu	TAN	ATH	2016	
134431	Nitendra Singh Rawat	IND	ATH	2016	
121463	Ram Singh Yadav	IND	ATH	2012	
115508	Oleksandr Sitkovskiy	UKR	ATH	2008—2016	
135646	Nicolae Soare	ROU	ATH	2016	
125355	Augusto Soares	TLS	ATH	2008—2016	
115468	Aleksey Sokolov	RUS	ATH	2008	
134924	Son Myeong-Jun	KOR	ATH	2016	
115480	José de Souza	BRA	ATH	2008	
115487	Arkadiusz Sowa	POL	ATH	2008	
136044	Boonthung Srisung	THA	ATH	2016	
75970	Róbert Štefko	CZE SVK	ATH	1996—2004	
115490	Goran Stojiljković	MNE	ATH	2008	
108269	Toshinari Suwa	JPN	ATH	2004	
108289	Ian Syster	RSA	ATH	2004	
115478	Henryk Szost	POL	ATH	2008—2016	
133002	Kuniaki Takizaki	CAM	ATH	2016	
125953	Patrick Tambwé	FRA	ATH	2012	
121588	Mike Tebulo	MAW	ATH	2012	
134570	Marhu Teferi	ISR	ATH	2016	
108247	Franklin Tenorio	ECU	ATH	2004—2008	
133985	Tsegai Tewelde	GBR	ATH	2016	
75333	Gert Thys	RSA	ATH	1996—2004	
108252	Ambesse Tolosa	ETH	ATH	2004	
83284	Lee Troop	AUS	ATH	2000—2008	
134297	Carlos Trujillo	GUA	ATH	2016	
115496	Marcel Tschopp	LIE	ATH	2008—2012	
121101	Samuel Tsegay	ERI	ATH	2012—2016	
135173	Tseveenravdangiin Byambajav	MGL	ATH	2016	
134908	Ilya Tyapkin	KGZ	ATH	2016	
133433	Abdi Ulad	DEN	ATH	2016	
108254	Jussi Utriainen	FIN	ATH	2004—2012	
135832	Ambroise Uwiragiye	RWA	ATH	2016	
132663	Willem Van Schuerbeeck	BEL	ATH	2016	
124047	Daniel Vargas	MEX	ATH	2012—2016	
108240	Rômulo Wagner	BRA	ATH	2004	
136248	Jared Ward	USA	ATH	2016	
108283	Dale Warrander	NZL	ATH	2004	
83296	Günther Weidlinger	AUT	ATH	2000—2012	
132473	Scott Westcott	AUS	ATH	2016	
108251	Tereje Wodajo	ETH	ATH	2004	
108297	Wu Wen-Chien	TPE	ATH	2004—2008	
74368	Jonathan Wyatt	NZL	ATH	1996—2004	
124761	Dylan Wykes	CAN	ATH	2012	
123055	Ryo Yamamoto	JPN	ATH	2012	
133112	Enzo Yáñez	CHI	ATH	2016	
73111	Ali Mabrouk El-Zaidi	LBA	ATH	1996—2012	
106581	Abdelhak Zakaria	BRN	ATH	2004—2008	
136218	Andrés Zamora	URU	ATH	2016	
120050	Ilunga Zatara Mande	COD	ATH	2012	
121262	Zohar Zemiro	ISR	ATH	2012	
133137	Zhu Renxue	CHN	ATH	2016	
108244	Zhu Ronghua	CHN	ATH	2004	
108233	Rachid Ziar	ALG	ATH	2004	
122177	Darko Živanović	SRB	ATH	2012	
114675	Valērijs Žolnerovičs	LAT	ATH	2008—2012	
