id,name,sex,age,height,weight,team,noc,year,season,city,sport,event_x,medal,event_y,substance,flagged,result,result_100m_mens_london,result_100m_womens_rio,result_100m_womens_london,result_200m_mens_rio,result_200m_mens_london,result_200m_womens_rio,result_200m_womens_london,result_110h_mens_rio,result_110h_mens_london,result_100h_womens_rio,result_100h_womens_london,result_3000steep_mens_rio,result_3000steep_mens_london,result_3000steep_womens_rio,result_3000steep_womens_london,result_marathon_mens_rio,result_marathon_mens_london,result_marathon_womens_rio,result_marathon_womens_london,result_20km_mens_rio,result_20km_mens_london,result_20km_womens_rio,result_20km_womens_london,result_400m_mens_rio,result_400m_mens_london,result_400m_womens_rio,result_400m_womens_london,result_5000m_mens_rio,result_5000m_mens_london,result_5000m_womens_rio,result_5000m_womens_london,result_800m_mens_rio,result_800m_mens_london,result_800m_womens_rio,result_800m_womens_london,result_discus_mens_rio,result_discus_mens_london,result_discus_womens_rio,result_discus_womens_london
681,janet achola,F,24.0,167.0,52.0,Uganda,UGA,2012,Summer,London,Athletics,"Athletics Women's 1,500 metres",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
737,amelia acuff,F,37.0,188.0,66.0,United States,USA,2012,Summer,London,Athletics,Athletics Women's High Jump,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
764,idrissa adam,M,27.0,178.0,79.0,Cameroon,CMR,2012,Summer,London,Athletics,Athletics Men's 100 metres,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
804,antoine adams,M,23.0,180.0,79.0,Saint Kitts and Nevis,SKN,2012,Summer,London,Athletics,Athletics Men's 100 metres,,,,,,10.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
804,antoine adams,M,23.0,180.0,79.0,Saint Kitts and Nevis,SKN,2012,Summer,London,Athletics,Athletics Men's 100 metres,,,,,,10.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
804,antoine adams,M,23.0,180.0,79.0,Saint Kitts and Nevis,SKN,2012,Summer,London,Athletics,Athletics Men's 200 metres,,,,,,,,,,20.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
804,antoine adams,M,23.0,180.0,79.0,Saint Kitts and Nevis,SKN,2012,Summer,London,Athletics,Athletics Men's 4 x 100 metres Relay,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
804,antoine adams,M,27.0,180.0,79.0,Saint Kitts and Nevis,SKN,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's 100 metres,,,,,,10.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
804,antoine adams,M,27.0,180.0,79.0,Saint Kitts and Nevis,SKN,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's 100 metres,,,,,,10.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
804,antoine adams,M,27.0,180.0,79.0,Saint Kitts and Nevis,SKN,2016,Summer,Rio de Janeiro,Athletics,Athletics Men's 200 metres,,,,,,,,,,20.59,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
